"Timestamp","TZ","GHI1_AV (W/m2)","UVB22013 (W/m2)","UVB22013_AV (W/m2)","UVB22013_SD (W/m2)","UVB22012 (W/m2)","UVB22012_AV (W/m2)","UVB22012_SD (W/m2)","TA_AV (degC)","TL (degC)","GTI (W/m2)","GTI_AV (W/m2)"
2026/05/18 00:00:00.271,n,-5.342453,5.488364,4.919986,0.7452,OverRange,OverRange,OverRange,9.921856,11.93236,-5.328192,-5.324182
2026/05/18 00:01:00.274,n,-5.151927,5.652198,5.617847,0.165267,OverRange,OverRange,OverRange,9.900726,11.925834,-5.293381,-5.234679
2026/05/18 00:02:00.259,n,-4.973331,4.296782,5.04529,0.674701,OverRange,OverRange,OverRange,9.926428,11.92694,-5.129563,-5.193724
2026/05/18 00:03:00.261,n,-5.084954,5.289504,4.698668,0.550468,OverRange,OverRange,OverRange,9.926936,11.921552,-5.024104,-5.086475
2026/05/18 00:04:00.264,n,-4.900071,5.98453,5.691282,0.333531,OverRange,OverRange,OverRange,9.896892,11.919384,-5.129563,-5.125552
2026/05/18 00:05:00.265,n,-4.689273,4.658667,5.438002,0.568544,OverRange,OverRange,OverRange,9.88645,11.914014,-4.801926,-4.94996
2026/05/18 00:06:00.267,n,-4.900072,4.479504,5.449267,0.623462,OverRange,OverRange,OverRange,9.889272,11.91512,-5.07069,-5.045521
2026/05/18 00:07:00.270,n,-5.128704,5.427854,5.169358,0.45996,OverRange,OverRange,OverRange,9.870926,11.91074,-4.685205,-4.91694
2026/05/18 00:08:00.273,n,-4.955754,4.590014,4.85568,0.505804,OverRange,OverRange,OverRange,9.829946,11.91613,-4.872061,-4.878033
2026/05/18 00:09:00.273,n,-5.066863,5.123045,4.567342,0.283441,OverRange,OverRange,OverRange,9.87169,11.91074,-4.942195,-4.95397
2026/05/18 00:10:00.258,n,-5.210688,4.570103,4.678545,0.385854,OverRange,OverRange,OverRange,9.938904,11.911846,-5.094239,-5.024104
2026/05/18 00:11:00.260,n,-5.072893,4.034489,4.431846,0.265418,OverRange,OverRange,OverRange,9.911148,11.903172,-5.035879,-5.051408
2026/05/18 00:12:00.263,n,-5.289721,5.484628,4.987345,0.552667,OverRange,OverRange,OverRange,9.915736,11.899964,-5.094239,-5.014292
2026/05/18 00:13:00.265,n,-5.078795,4.648046,5.435894,0.435665,OverRange,OverRange,OverRange,9.85437,11.896724,-4.942195,-4.971546
2026/05/18 00:14:00.266,n,-5.040818,4.216366,5.044194,0.63183,OverRange,OverRange,OverRange,9.840124,11.892426,-4.918647,-4.910882
2026/05/18 00:15:00.268,n,-5.005791,5.307644,4.962671,0.595567,OverRange,OverRange,OverRange,9.833248,11.897782,-4.837249,-4.862334
2026/05/18 00:16:00.271,n,-4.815136,4.626685,4.977813,0.485454,OverRange,OverRange,OverRange,9.914474,11.890294,-4.615071,-4.710375
2026/05/18 00:17:00.273,n,-4.935483,4.461066,4.790193,0.632045,OverRange,OverRange,OverRange,9.990566,11.889186,-4.75534,-4.729744
2026/05/18 00:18:00.276,n,-5.01426,5.480008,5.356196,0.406291,OverRange,OverRange,OverRange,10.021638,11.884872,-5.106014,-5.137241
2026/05/18 00:19:00.260,n,-4.87377,5.680861,4.860157,0.615251,OverRange,OverRange,OverRange,9.98523,11.88051,-5.153111,-5.224867
2026/05/18 00:20:00.262,n,-4.909053,4.183974,4.781697,0.73074,OverRange,OverRange,OverRange,9.993118,11.878376,-4.8137,-5.045605
2026/05/18 00:21:00.264,n,-5.058138,4.48135,5.235196,0.473869,OverRange,OverRange,OverRange,9.990846,11.87408,-5.01233,-4.877863
2026/05/18 00:22:00.266,n,-4.985007,4.316523,4.314555,0.217943,OverRange,OverRange,OverRange,10.006866,11.875154,-4.965232,-4.889466
2026/05/18 00:23:00.268,n,-5.096116,4.966139,5.488477,0.304367,OverRange,OverRange,OverRange,9.982432,11.87408,-4.895098,-4.930591
2026/05/18 00:24:00.271,n,-5.093293,5.3221,5.176604,0.446473,OverRange,OverRange,OverRange,9.950618,11.8676,-5.059428,-4.94996
2026/05/18 00:25:00.272,n,-4.944335,4.443205,4.795511,0.45269,OverRange,OverRange,OverRange,9.963858,11.870838,-5.199697,-5.102089
2026/05/18 00:26:00.274,n,-5.066991,4.797809,4.88723,0.304307,OverRange,OverRange,OverRange,9.954682,11.86003,-5.01233,-5.102089
2026/05/18 00:27:00.276,n,-5.075844,4.685421,5.36108,0.343728,OverRange,OverRange,OverRange,9.967672,11.858988,-5.281094,-5.185875
2026/05/18 00:28:00.264,n,-4.949981,4.027931,4.731599,0.663479,OverRange,OverRange,OverRange,9.982702,11.856808,-5.187923,-5.324353
2026/05/18 00:29:00.263,n,-5.175534,4.653829,4.75703,0.49207,OverRange,OverRange,OverRange,9.946544,11.861104,-4.8137,-5.039804
2026/05/18 00:30:00.266,n,-5.108047,5.641134,5.471139,0.16511,OverRange,OverRange,OverRange,9.929994,11.852492,-4.988781,-4.881787
2026/05/18 00:31:00.267,n,-4.870691,4.309517,4.916344,0.625005,OverRange,OverRange,OverRange,9.91269,11.851418,-4.720017,-4.805851
2026/05/18 00:32:00.270,n,-5.166681,4.612221,4.848131,0.627954,OverRange,OverRange,OverRange,9.92744,11.851418,-4.8137,-4.827351
2026/05/18 00:33:00.274,n,-5.072893,5.008198,5.147644,0.372739,OverRange,OverRange,OverRange,9.94043,11.84922,-4.95397,-4.862504
2026/05/18 00:34:00.273,n,-5.079051,4.618461,4.774167,0.35001,OverRange,OverRange,OverRange,9.924394,11.848178,-4.930421,-4.899363
2026/05/18 00:35:00.275,n,-5.1373,5.598012,5.159031,0.569783,OverRange,OverRange,OverRange,9.934306,11.845998,-4.965232,-4.938356
2026/05/18 00:36:00.279,n,-5.055187,4.034592,4.921542,0.714011,OverRange,OverRange,OverRange,9.904546,11.853714,-4.977519,-5.018218
2026/05/18 00:37:00.263,n,-4.987573,4.189888,5.062166,0.686167,OverRange,OverRange,OverRange,9.935324,11.851548,-4.883323,-4.852266
2026/05/18 00:38:00.265,n,-5.043256,4.6098,4.629578,0.520933,OverRange,OverRange,OverRange,9.960786,11.845084,-5.199185,-5.008234
2026/05/18 00:39:00.266,n,-5.007845,3.869889,4.756803,0.690348,OverRange,OverRange,OverRange,9.968674,11.840772,-5.105502,-5.105672
2026/05/18 00:40:00.270,n,-5.08675,5.530242,5.546948,0.267468,OverRange,OverRange,OverRange,9.989798,11.836456,-5.199185,-5.142702
2026/05/18 00:41:00.272,n,-5.081233,5.456381,4.891962,0.605514,OverRange,OverRange,OverRange,9.959264,11.837516,-5.024104,-5.134938
2026/05/18 00:42:00.272,n,-5.051723,6.101774,5.230265,0.602564,OverRange,OverRange,OverRange,9.955944,11.828918,-5.187411,-5.111474
2026/05/18 00:43:00.277,n,-4.949339,5.546979,5.598324,0.053245,OverRange,OverRange,OverRange,9.961284,11.82353,-5.000556,-5.123334
2026/05/18 00:44:00.278,n,-4.852729,5.081299,4.732948,0.524041,OverRange,OverRange,OverRange,9.928966,11.825664,-4.965232,-5.000385
2026/05/18 00:45:00.279,n,-4.864276,5.597014,5.26815,0.759438,OverRange,OverRange,OverRange,9.884904,11.815928,-5.011818,-5.006272
2026/05/18 00:46:00.265,n,-4.905332,6.000067,5.479284,0.656401,OverRange,OverRange,OverRange,9.874202,11.819184,-5.140825,-5.014122
2026/05/18 00:47:00.266,n,-4.882109,5.470407,5.315199,0.261123,OverRange,OverRange,OverRange,9.84899,11.810574,-5.222734,-5.242102
2026/05/18 00:48:00.268,n,-4.855808,4.488886,4.705026,0.524326,OverRange,OverRange,OverRange,9.878036,11.808392,-5.175637,-4.893135
2026/05/18 00:49:00.271,n,-4.914313,4.449327,4.925181,0.652685,OverRange,OverRange,OverRange,9.922074,11.80626,-4.848511,-5.082379
