"Timestamp","TZ","GHI1_AV (W/m2)","UVB22013 (W/m2)","UVB22013_AV (W/m2)","UVB22013_SD (W/m2)","UVB22012 (W/m2)","UVB22012_AV (W/m2)","UVB22012_SD (W/m2)","TA_AV (degC)","TL (degC)","GTI_AV (W/m2)"
2026/06/07 00:00:00.270,n,-2.094385,6.538537,4.619454,1.35957,OverRange,OverRange,OverRange,12.400548,15.222816,-2.554713
2026/06/07 00:01:00.272,n,-1.927723,6.097092,5.388119,1.463848,OverRange,OverRange,OverRange,12.44928,15.231274,-2.364018
2026/06/07 00:02:00.271,n,-2.187917,3.652146,4.475015,1.231899,OverRange,OverRange,OverRange,12.376338,15.219492,-2.615036
2026/06/07 00:03:00.258,n,-2.214219,4.279016,4.734466,1.302148,OverRange,OverRange,OverRange,12.390468,15.219492,-2.579883
2026/06/07 00:04:00.260,n,-2.255275,3.973219,4.429883,1.170645,OverRange,OverRange,OverRange,12.37232,15.22591,-2.488503
2026/06/07 00:05:00.261,n,-2.392685,3.339143,4.556211,1.306192,OverRange,OverRange,OverRange,12.426846,15.224802,-2.611026
2026/06/07 00:06:00.264,n,-2.240649,3.959279,4.890063,1.28573,OverRange,OverRange,OverRange,12.311722,15.226954,-2.617084
2026/06/07 00:07:00.264,n,-2.264128,3.391583,4.29314,1.085714,OverRange,OverRange,OverRange,12.32131,15.226954,-2.525448
2026/06/07 00:08:00.269,n,-2.278626,3.759384,4.013562,0.608384,OverRange,OverRange,OverRange,12.303146,15.233408,-2.482616
2026/06/07 00:09:00.271,n,-2.369463,3.272513,4.475287,1.488214,OverRange,OverRange,OverRange,12.33697,15.230196,-2.653943
2026/06/07 00:10:00.272,n,-2.229102,3.470844,4.253577,1.131548,OverRange,OverRange,OverRange,12.34784,15.231274,-2.583723
2026/06/07 00:11:00.259,n,-2.158664,3.174566,5.501151,1.153888,OverRange,OverRange,OverRange,12.279902,15.231274,-2.515721
2026/06/07 00:12:00.259,n,-2.213962,6.507922,4.987622,1.385701,OverRange,OverRange,OverRange,12.373582,15.233408,-2.523315
2026/06/07 00:13:00.260,n,-2.150068,4.064839,5.330291,1.291707,OverRange,OverRange,OverRange,12.240266,15.22591,-2.552666
2026/06/07 00:14:00.263,n,-2.272724,3.790348,4.49471,1.137355,OverRange,OverRange,OverRange,12.349356,15.22591,-2.544645
2026/06/07 00:15:00.264,n,-2.424889,5.911443,5.346194,1.126468,OverRange,OverRange,OverRange,12.356146,15.226954,-2.644131
2026/06/07 00:16:00.269,n,-2.225894,3.798215,4.565796,1.301261,OverRange,OverRange,OverRange,12.237478,15.220566,-2.58961
2026/06/07 00:17:00.269,n,-2.211396,6.471143,5.343685,1.691968,OverRange,OverRange,OverRange,12.313462,15.217356,-2.64797
2026/06/07 00:18:00.270,n,-2.176113,3.584653,5.227974,1.106971,OverRange,OverRange,OverRange,12.232952,15.215238,-2.49422
2026/06/07 00:19:00.271,n,-2.167389,6.593789,5.012484,1.7011,OverRange,OverRange,OverRange,12.28975,15.215238,-2.418368
2026/06/07 00:20:00.257,n,-2.135313,6.519362,4.894799,1.809797,OverRange,OverRange,OverRange,12.23845,15.207726,-2.513673
2026/06/07 00:21:00.260,n,-2.138136,5.01412,5.11011,1.451836,OverRange,OverRange,OverRange,12.263734,15.203474,-2.509834
2026/06/07 00:22:00.261,n,-2.138008,4.195486,5.022418,1.412806,OverRange,OverRange,OverRange,12.216,15.200248,-2.501984
2026/06/07 00:23:00.264,n,-2.19369,5.175008,5.141839,1.598413,OverRange,OverRange,OverRange,12.2491,15.19381,-2.447549
2026/06/07 00:24:00.266,n,-2.129283,3.382047,4.899141,1.720103,OverRange,OverRange,OverRange,12.23492,15.18633,-2.51555
2026/06/07 00:25:00.267,n,-2.152891,3.833256,4.544625,1.416062,OverRange,OverRange,OverRange,12.250586,15.187374,-2.609064
2026/06/07 00:26:00.272,n,-2.267079,6.500515,4.369119,1.052671,OverRange,OverRange,OverRange,12.31805,15.185256,-2.583808
2026/06/07 00:27:00.270,n,-2.141215,6.668808,4.663797,1.400874,OverRange,OverRange,OverRange,12.276886,15.174566,-2.550703
2026/06/07 00:28:00.256,n,-2.214347,4.008481,4.552142,1.249339,OverRange,OverRange,OverRange,12.250112,15.170232,-2.568365
2026/06/07 00:29:00.258,n,-2.308135,4.665535,4.379046,1.015866,OverRange,OverRange,OverRange,12.269064,15.162786,-2.65181
2026/06/07 00:30:00.261,n,-2.255403,3.284533,5.593149,1.144773,OverRange,OverRange,OverRange,12.181168,15.164936,-2.56043
2026/06/07 00:31:00.264,n,-2.182015,4.201498,3.974581,0.272988,OverRange,OverRange,OverRange,12.262234,15.155256,-2.462907
2026/06/07 00:32:00.264,n,-2.129412,3.432684,5.302542,1.478086,OverRange,OverRange,OverRange,12.19428,15.15317,-2.42417
2026/06/07 00:33:00.266,n,-2.091178,5.919428,5.168655,1.033867,OverRange,OverRange,OverRange,12.244808,15.14887,-2.455228
2026/06/07 00:34:00.268,n,-2.155842,4.067624,5.324265,1.314236,OverRange,OverRange,OverRange,12.16827,15.140298,-2.511711
2026/06/07 00:35:00.270,n,-2.190868,6.516909,5.081216,1.476134,OverRange,OverRange,OverRange,12.275346,15.13818,-2.58961
2026/06/07 00:36:00.273,n,-2.202543,6.582635,4.769552,1.420272,OverRange,OverRange,OverRange,12.239736,15.12956,-2.601214
2026/06/07 00:37:00.258,n,-2.219864,3.645421,5.029527,1.295994,OverRange,OverRange,OverRange,12.228134,15.12534,-2.612988
2026/06/07 00:38:00.260,n,-2.225894,6.170309,5.401811,1.468383,OverRange,OverRange,OverRange,12.281926,15.124264,-2.632527
2026/06/07 00:39:00.263,n,-2.33418,6.09263,4.636433,1.361743,OverRange,OverRange,OverRange,12.2468,15.115676,-2.735681
